data size; Heap time [ns];
1000;1363
1000;1214
1000;1204
1000;1127
1000;1134
1000;1131
1000;1270
1000;1305
1000;1159
1000;1146
2000;2479
2000;2535
2000;2731
2000;2473
2000;2528
2000;2505
2000;2489
2000;2479
2000;2477
2000;2470
3000;3876
3000;3872
3000;3872
3000;3885
3000;4011
3000;4070
3000;3960
3000;5243
3000;3985
3000;3896
4000;5887
4000;7479
4000;7616
4000;7481
4000;7582
4000;5411
4000;5392
4000;5448
4000;5614
4000;5585
5000;7233
5000;7286
5000;7400
5000;8245
5000;7828
5000;7254
5000;7056
5000;7498
5000;6985
5000;7166
6000;8684
6000;8483
6000;9420
6000;8622
6000;8455
6000;10022
6000;14717
6000;12119
6000;10883
6000;11696
7000;15950
7000;11531
7000;12877
7000;11624
7000;10345
7000;11082
7000;11566
7000;14459
7000;20795
7000;12609
8000;17857
8000;17726
8000;15361
8000;19192
8000;19941
8000;18016
8000;15584
8000;13803
8000;12536
8000;12361
9000;16900
9000;15687
9000;16715
9000;20872
9000;20712
9000;18354
9000;20488
9000;15532
9000;17794
9000;17991
10000;16334
10000;22163
10000;24857
10000;21743
10000;24069
10000;16322
10000;15783
10000;17277
10000;15695
10000;15383
11000;16922
11000;16785
11000;16950
11000;17107
11000;16575
11000;16433
11000;17367
11000;17172
11000;16993
11000;17187
12000;17993
12000;19584
12000;19023
12000;18679
12000;18412
12000;18680
12000;18959
12000;19316
12000;19267
12000;18592
13000;19779
13000;19871
13000;20080
13000;19753
13000;19601
13000;20976
13000;19939
13000;20472
13000;20179
13000;20127
14000;22507
14000;21931
14000;21639
14000;21629
14000;21093
14000;22030
14000;21625
14000;21662
14000;21761
14000;21872
15000;23623
15000;24042
15000;23797
15000;23494
15000;23056
15000;22801
15000;23261
15000;23334
15000;23814
15000;23272
16000;25104
16000;25141
16000;24781
16000;25208
16000;25075
16000;24976
16000;25000
16000;24568
16000;28021
16000;25138
17000;26764
17000;26340
17000;26616
17000;26552
17000;26799
17000;27072
17000;27156
17000;26821
17000;26059
17000;26313
18000;29489
18000;28757
18000;29052
18000;28988
18000;28940
18000;28740
18000;29740
18000;28201
18000;29681
18000;28994
19000;30325
19000;30321
19000;30624
19000;30510
19000;30742
19000;34179
19000;29892
19000;31430
19000;30345
19000;32596
20000;34672
20000;34201
20000;34043
20000;33453
20000;31623
20000;31826
20000;32794
20000;33145
20000;32423
20000;31795
21000;33697
21000;34460
21000;34114
21000;33106
21000;33813
21000;34098
21000;34241
21000;33742
21000;33456
21000;34816
22000;35961
22000;35764
22000;37697
22000;35711
22000;36428
22000;34843
22000;34796
22000;36361
22000;35255
22000;36270
23000;37403
23000;37636
23000;37747
23000;38788
23000;38412
23000;36571
23000;37390
23000;38351
23000;38384
23000;37422
24000;39340
24000;39276
24000;40688
24000;39420
24000;40599
24000;39558
24000;39022
24000;39444
24000;38618
24000;38522
25000;42125
25000;40958
25000;42265
25000;41966
25000;41436
25000;41381
25000;41439
25000;41694
25000;41609
25000;39928
26000;42024
26000;43660
26000;43489
26000;44792
26000;43194
26000;43662
26000;42976
26000;42696
26000;45151
26000;43351
27000;46111
27000;51661
27000;44631
27000;45726
27000;45293
27000;44961
27000;43831
27000;44848
27000;44700
27000;46145
28000;46374
28000;46321
28000;46340
28000;45813
28000;46240
28000;48987
28000;46878
28000;46364
28000;46441
28000;47864
29000;48873
29000;49114
29000;47928
29000;48993
29000;48510
29000;47861
29000;48496
29000;49259
29000;47328
29000;47553
30000;56704
30000;51385
30000;50950
30000;52510
30000;50347
30000;50187
30000;50729
30000;50175
30000;51654
30000;51144
31000;51263
31000;50673
31000;53728
31000;51603
31000;50454
31000;53208
31000;51528
31000;50849
31000;51929
31000;51996
32000;53690
32000;55010
32000;54255
32000;53811
32000;54023
32000;53503
32000;54709
32000;54036
32000;52705
32000;53604
33000;56063
33000;55635
33000;55828
33000;56352
33000;55184
33000;55453
33000;55748
33000;61236
33000;56272
33000;58531
34000;57445
34000;59158
34000;57949
34000;59041
34000;57958
34000;57613
34000;57253
34000;57790
34000;57056
34000;56914
35000;59817
35000;59888
35000;60622
35000;58654
35000;59410
35000;59947
35000;59585
35000;59541
35000;60047
35000;59603
36000;60619
36000;60549
36000;63286
36000;60847
36000;62561
36000;63524
36000;63887
36000;62176
36000;63121
36000;62241
37000;64535
37000;62507
37000;62055
37000;62779
37000;67361
37000;66006
37000;62827
37000;64824
37000;63097
37000;65692
38000;68276
38000;67693
38000;75620
38000;69092
38000;71587
38000;72170
38000;69643
38000;77533
38000;66636
38000;67145
39000;73595
39000;67179
39000;72874
39000;71216
39000;69513
39000;65643
39000;67828
39000;76660
39000;78832
39000;77461
40000;71333
40000;70297
40000;69153
40000;68947
40000;70905
40000;79123
40000;71102
40000;72500
40000;78885
40000;70860
41000;88415
41000;74558
41000;70125
41000;73370
41000;70580
41000;70850
41000;75835
41000;69820
41000;76109
41000;76339
42000;75943
42000;73239
42000;72026
42000;73670
42000;74349
42000;73599
42000;74051
42000;73261
42000;81074
42000;83707
43000;77831
43000;81869
43000;76716
43000;75719
43000;73653
43000;74430
43000;78146
43000;78763
43000;76738
43000;75407
44000;84194
44000;85566
44000;79469
44000;81462
44000;82636
44000;79583
44000;76089
44000;77732
44000;83686
44000;92018
45000;83219
45000;79619
45000;81454
45000;80787
45000;77957
45000;80209
45000;101763
45000;101507
45000;99927
45000;89040
46000;82331
46000;95555
46000;86947
46000;90808
46000;81472
46000;84513
46000;93663
46000;103166
46000;92370
46000;87750
47000;83752
47000;88813
47000;86748
47000;90089
47000;87483
47000;86082
47000;94703
47000;104434
47000;119260
47000;125919
48000;96963
48000;96029
48000;89841
48000;85209
48000;84497
48000;86019
48000;92927
48000;86499
48000;96608
48000;106498
49000;104263
49000;105829
49000;101361
49000;110167
49000;93768
49000;103006
49000;91114
49000;93852
49000;86122
49000;108541
50000;99235
50000;116842
50000;125957
50000;138822
50000;104853
50000;112967
50000;126755
50000;114879
50000;104965
50000;106347
51000;106729
51000;100887
51000;93313
51000;96784
51000;95885
51000;98439
51000;92186
51000;99254
51000;94771
51000;99130
52000;104018
52000;105494
52000;101006
52000;103035
52000;97432
52000;105181
52000;105957
52000;102822
52000;115120
52000;107560
53000;117003
53000;104436
53000;102123
53000;101711
53000;98745
53000;124544
53000;100230
53000;103673
53000;97863
